,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,total_sales,Channel_Asset Manager,Channel_Bank/Trust,Channel_Discount,Channel_Dual,Channel_Fee-Based Adviser,Channel_Independent Dealer,Channel_International Outlet,Channel_Low/Non Producer,Channel_National Broker-Dealer,Channel_Networker,Channel_Private Client Group,Sub channel_Affiliated,Sub channel_DCIO,Sub channel_Global,Sub channel_IBD,Sub channel_NACS,Sub channel_Other,Sub channel_RIA,Sub channel_USBT
1636,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10679.93,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1637,6.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6557.21,0.0,15518.48,0.0,-7379.75,1.0,0.0,0.0,15518.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.817494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1640,1.0,9.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,10000.0,0.0,-278691.26,0.0,60547.91,0.0,10000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1641,2.0,7.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,256636.0,0.0,266297.93,-2106.66,-5131.14,1.0,4118.04,1.0,266297.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,59327.516978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1643,0.0,74.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,8486700.05,0.0,0.0,-216.56,-122355.71,0.0,36099.04,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1644,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-41553.27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98978.775,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1646,16.0,9.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,17587.201104,25673.660673,-3064.2935399999997,-18820.964382,0.0,33240.945573000005,0.0,43260.861777,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1647,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.62,-8857.66,0.0,0.0,0.0,0.0,1572.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.67,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1649,32.0,131.0,9.0,7.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,599673.29,25916.55,277649.36,-44894.64,-456264.77,1.0,168592.97,0.0,303565.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1650,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,21956.62,0.0,0.0,0.0,-4687.29,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
